chid,subset,role,test_role,case_group,Q,U,Df,dx,L,W,H,x_fire,T_end,n_mesh_x,n_mesh_y,n_mesh_z,Uc_m_s,U_over_Uc,flow_layer,chi_r_assumed,critical_velocity_method,continuous_qdash_kW_m2,HRRPUA_kW_m2,dataset_group_id,cv_fold,access_policy,design_status,data_version,protocol_version,domain_scope,measurement_x_min_m,measurement_x_max_m,censoring_allowed,profile_target_policy,peak_target_policy,k_u_target_policy,k_d_target_policy,parameter_mask_required,scientific_confirmation_status,external_run_required,existing_result_path,result_source,reuse_chid,source_design_id,parent_chid,les_random_seed,random_seed_repeat_planned,design_reason,note
dev_47_weak,development,lhs_sample,,database_candidate,87.702305,1.641360,8.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.545024,weak,0.300,Li_2010_piecewise_preliminary,1640.640,1559.152,dev_47_weak,1,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_48_near_critical,development,lhs_sample,,database_candidate,53.823487,3.330439,7.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.105894,near_critical,0.300,Li_2010_piecewise_preliminary,1303.785,1273.929,dev_48_near_critical,2,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_49_strong,development,lhs_sample,,database_candidate,82.781272,4.570202,6.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.517565,strong,0.300,Li_2010_piecewise_preliminary,2494.684,2299.480,dev_49_strong,3,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
dev_50_near_critical,development,lhs_sample,,database_candidate,46.713978,3.412481,6.250000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.133137,near_critical,0.300,Li_2010_piecewise_preliminary,1522.639,1297.611,dev_50_near_critical,4,MODEL_DEVELOPMENT_AFTER_GATES,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_latin_hypercube,,,no,固定流态配额内的受约束 Latin hypercube 候选（seed=20260729）,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_01_unseen_q_low,independent_test,sealed_test,unseen_power,database_candidate,12.500000,1.329804,3.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,2.955119,0.450000,weak,0.300,Li_2010_piecewise_preliminary,1768.388,1388.889,test_01_unseen_q_low,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_02_unseen_q_mid,independent_test,sealed_test,unseen_power,database_candidate,37.500000,3.011535,5.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.000000,near_critical,0.300,Li_2010_piecewise_preliminary,1909.859,1851.852,test_02_unseen_q_mid,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_03_unseen_q_high,independent_test,sealed_test,unseen_power,database_candidate,72.500000,4.065573,7.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.350000,strong,0.300,Li_2010_piecewise_preliminary,1883.875,1715.976,test_03_unseen_q_high,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_04_unseen_u_weak,independent_test,sealed_test,unseen_wind,database_candidate,25.000000,0.752884,4.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.250000,weak,0.300,Li_2010_piecewise_preliminary,1989.437,1562.500,test_04_unseen_u_weak,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_05_unseen_u_mid,independent_test,sealed_test,unseen_wind,database_candidate,55.000000,2.258651,6.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.750000,weak,0.300,Li_2010_piecewise_preliminary,1945.227,1818.182,test_05_unseen_u_mid,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_06_unseen_u_strong,independent_test,sealed_test,unseen_wind,database_candidate,90.000000,3.764419,8.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.250000,strong,0.300,Li_2010_piecewise_preliminary,1790.493,1600.000,test_06_unseen_u_strong,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_07_critical_low,independent_test,sealed_test,near_critical_difficult,database_candidate,32.000000,2.921189,4.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.970000,near_critical,0.300,Li_2010_piecewise_preliminary,2012.033,2000.000,test_07_critical_low,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_08_critical_high,independent_test,sealed_test,near_critical_difficult,database_candidate,68.000000,3.101881,7.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.030000,near_critical,0.300,Li_2010_piecewise_preliminary,1766.945,1609.467,test_08_critical_high,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_09_size_small,independent_test,sealed_test,size_boundary,database_candidate,7.000000,1.461467,1.750000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,2.435778,0.600000,weak,0.300,Li_2010_piecewise_preliminary,2910.262,1750.000,test_09_size_small,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_10_size_large,independent_test,sealed_test,size_boundary,database_candidate,100.000000,2.710382,9.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,0.900000,near_critical,0.300,Li_2010_piecewise_preliminary,1571.901,1562.500,test_10_size_large,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_11_high_strong,independent_test,sealed_test,high_power_strong,database_candidate,85.000000,4.366726,8.000000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.450000,strong,0.300,Li_2010_piecewise_preliminary,1691.021,1511.111,test_11_high_strong,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
test_12_upper_strong,independent_test,sealed_test,high_power_strong,database_candidate,100.000000,4.758226,8.500000,0.250000,100.000000,10.000000,5.000000,50.000000,300.000000,11,1,2,3.011535,1.580000,strong,0.300,Li_2010_piecewise_preliminary,1762.269,1562.500,test_12_upper_strong,SEALED,SEALED_UNTIL_FINAL_EVALUATION,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_test_spec,,,no,预设独立测试职责；不得用于调参,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
offset_01_upstream_offset_weak,offset_validation,offset_translation,,database_candidate,40.000000,1.505768,5.000000,0.250000,100.000000,10.000000,5.000000,32.500000,300.000000,11,1,2,3.011535,0.500000,weak,0.300,Li_2010_piecewise_preliminary,2037.183,1975.309,offset_01_upstream_offset_weak,VALIDATION_ONLY,VALIDATION_ONLY_NOT_CLOSURE_TRAINING,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_offset_spec,,,no,固定布局下验证坐标平移、峰值偏移和定位，不参与主体闭合,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
offset_02_upstream_offset_near_critical,offset_validation,offset_translation,,database_candidate,40.000000,3.011535,5.000000,0.250000,100.000000,10.000000,5.000000,32.500000,300.000000,11,1,2,3.011535,1.000000,near_critical,0.300,Li_2010_piecewise_preliminary,2037.183,1975.309,offset_02_upstream_offset_near_critical,VALIDATION_ONLY,VALIDATION_ONLY_NOT_CLOSURE_TRAINING,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_offset_spec,,,no,固定布局下验证坐标平移、峰值偏移和定位，不参与主体闭合,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
offset_03_upstream_offset_strong,offset_validation,offset_translation,,database_candidate,40.000000,4.216149,5.000000,0.250000,100.000000,10.000000,5.000000,32.500000,300.000000,11,1,2,3.011535,1.400000,strong,0.300,Li_2010_piecewise_preliminary,2037.183,1975.309,offset_03_upstream_offset_strong,VALIDATION_ONLY,VALIDATION_ONLY_NOT_CLOSURE_TRAINING,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_offset_spec,,,no,固定布局下验证坐标平移、峰值偏移和定位，不参与主体闭合,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
offset_04_downstream_offset_weak,offset_validation,offset_translation,,database_candidate,40.000000,1.505768,5.000000,0.250000,100.000000,10.000000,5.000000,67.500000,300.000000,11,1,2,3.011535,0.500000,weak,0.300,Li_2010_piecewise_preliminary,2037.183,1975.309,offset_04_downstream_offset_weak,VALIDATION_ONLY,VALIDATION_ONLY_NOT_CLOSURE_TRAINING,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_offset_spec,,,no,固定布局下验证坐标平移、峰值偏移和定位，不参与主体闭合,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
offset_05_downstream_offset_near_critical,offset_validation,offset_translation,,database_candidate,40.000000,3.011535,5.000000,0.250000,100.000000,10.000000,5.000000,67.500000,300.000000,11,1,2,3.011535,1.000000,near_critical,0.300,Li_2010_piecewise_preliminary,2037.183,1975.309,offset_05_downstream_offset_near_critical,VALIDATION_ONLY,VALIDATION_ONLY_NOT_CLOSURE_TRAINING,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_offset_spec,,,no,固定布局下验证坐标平移、峰值偏移和定位，不参与主体闭合,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
offset_06_downstream_offset_strong,offset_validation,offset_translation,,database_candidate,40.000000,4.216149,5.000000,0.250000,100.000000,10.000000,5.000000,67.500000,300.000000,11,1,2,3.011535,1.400000,strong,0.300,Li_2010_piecewise_preliminary,2037.183,1975.309,offset_06_downstream_offset_strong,VALIDATION_ONLY,VALIDATION_ONLY_NOT_CLOSURE_TRAINING,AUTHORIZED_100M_V2_WAITING_EXTERNAL_FDS,100m_conditional_domain_v2_input_v1_not_fds_data,100M_CONDITIONAL_DOMAIN_V2,L100_W10_H5_dx0.25_measurement_x15_85,15.000000,85.000000,yes,REQUIRED_IF_QUALITY_AND_STEADY_PASS,REQUIRED_WITH_BOOTSTRAP_INTERVAL,ONLY_IF_UPSTREAM_IDENTIFIABLE_AND_STABLE,ONLY_IF_DOWNSTREAM_IDENTIFIABLE_AND_STABLE,yes,DEVELOPMENT_GATE_PASS_CONFIRMATION_PENDING,yes,,WAITING_EXTERNAL_FDS,,stage3_offset_spec,,,no,固定布局下验证坐标平移、峰值偏移和定位，不参与主体闭合,100 m 条件域协议 V2 外部计算输入；协议 V1 的 4/12 FAIL 保持不变；闭合与反演结论等待开发结果和冻结后的封存测试
